temperature_C,phase_shift_rad
42.1,0.171
42.15,0.1715
42.2,0.172
42.25,0.1725
42.3,0.173
42.35,0.1735
42.4,0.174
42.45,0.1745
42.5,0.175
42.55,0.1755
42.6,0.176
42.65,0.1765
42.7,0.177
42.75,0.1775
42.8,0.178
42.85,0.1785
42.9,0.179
42.95,0.1795
43.0,0.18
43.05,0.1805
43.1,0.181
43.15,0.1815
43.2,0.182
43.25,0.1825
43.3,0.183
43.35,0.1835
43.4,0.184
43.45,0.1845
43.5,0.185
43.55,0.1855
43.6,0.186
43.65,0.1865
43.7,0.187
43.75,0.1875
43.8,0.188
43.85,0.1885
43.9,0.189
43.95,0.1895
44.0,0.19
44.05,0.1905
44.1,0.191
44.15,0.1915
44.2,0.192
44.25,0.1925
44.3,0.193
44.35,0.1935
44.4,0.194
44.45,0.1945
44.5,0.195
44.55,0.1955
44.6,0.196
44.65,0.1965
44.7,0.197
44.75,0.1975
44.8,0.198
44.85,0.1985
44.9,0.199
44.95,0.1995
45.0,0.2
45.05,0.2005
45.1,0.201
45.15,0.2015
45.2,0.202
45.25,0.2025
45.3,0.203
45.35,0.2035
45.4,0.204
45.45,0.2045
45.5,0.205
45.55,0.2055
45.6,0.206
45.65,0.2065
45.7,0.207
45.75,0.2075
45.8,0.208
45.85,0.2085
45.9,0.209
45.95,0.2095
46.0,0.21
46.05,0.2105
46.1,0.211
46.15,0.2115
46.2,0.212
46.25,0.2125
46.3,0.213
46.35,0.2135
46.4,0.214
46.45,0.2145
46.5,0.215
46.55,0.2155
46.6,0.216
46.65,0.2165
46.7,0.217
46.75,0.2175
46.8,0.218
46.85,0.2185
46.9,0.219
46.95,0.2195
47.0,0.22
47.05,0.2205
47.1,0.221
47.15,0.2215
47.2,0.222
47.25,0.2225
47.3,0.223
47.35,0.2235
47.4,0.224
47.45,0.2245
47.5,0.225
47.55,0.2255
47.6,0.226
47.65,0.2265
47.7,0.227
47.75,0.2275
47.8,0.228
47.85,0.2285
47.9,0.229
47.95,0.2295
48.0,0.23
48.05,0.2305
48.1,0.231
48.15,0.2315
48.2,0.232
48.25,0.2325
48.3,0.233
48.35,0.2335
48.4,0.234
48.45,0.2345
48.5,0.235
48.55,0.2355
48.6,0.236
48.65,0.2365
48.7,0.237
48.75,0.2375
48.8,0.238
48.85,0.2385
48.9,0.239
48.95,0.2395
49.0,0.24
49.05,0.2405
49.1,0.241
49.15,0.2415
49.2,0.242
49.25,0.2425
49.3,0.243
49.35,0.2435
49.4,0.244
49.45,0.2445
49.5,0.245
49.55,0.2455
49.6,0.246
49.65,0.2465
49.7,0.247
49.75,0.2475
49.8,0.248
49.85,0.2485
49.9,0.249
49.95,0.2495
50.0,0.25
50.05,0.2505
50.1,0.251
50.15,0.2515
50.2,0.252
50.25,0.2525
50.3,0.253
50.35,0.2535
50.4,0.254
50.45,0.2545
50.5,0.255
50.55,0.2555
50.6,0.256
50.65,0.2565
50.7,0.257
50.75,0.2575
50.8,0.258
50.85,0.2585
50.9,0.259
50.95,0.2595
51.0,0.26
51.05,0.2605
51.1,0.261
51.15,0.2615
