phase_rad,port0_transmission,port1_transmission
0.30661944,0.9766797,0.0233203
0.30787608,0.97648967,0.02351033
0.30913272,0.97629889,0.02370111
0.31038935,0.97610736,0.02389264
0.31164599,0.97591508,0.02408492
0.31290263,0.97572204,0.02427796
0.31415927,0.97552826,0.02447174
0.3154159,0.97533372,0.02466628
0.31667254,0.97513843,0.02486157
0.31792918,0.9749424,0.0250576
0.31918581,0.97474561,0.02525439
0.32044245,0.97454807,0.02545193
0.32169909,0.97434979,0.02565021
0.32295572,0.97415075,0.02584925
0.32421236,0.97395097,0.02604903
0.325469,0.97375043,0.02624957
0.32672564,0.97354915,0.02645085
0.32798227,0.97334712,0.02665288
0.32923891,0.97314435,0.02685565
0.33049555,0.97294082,0.02705918
0.33175218,0.97273655,0.02726345
0.33300882,0.97253154,0.02746846
0.33426546,0.97232577,0.02767423
0.3355221,0.97211927,0.02788073
0.33677873,0.97191201,0.02808799
0.33803537,0.97170401,0.02829599
0.33929201,0.97149527,0.02850473
0.34054864,0.97128578,0.02871422
0.34180528,0.97107555,0.02892445
0.34306192,0.97086457,0.02913543
0.34431855,0.97065285,0.02934715
0.34557519,0.97044038,0.02955962
0.34683183,0.97022718,0.02977282
0.34808847,0.97001323,0.02998677
0.3493451,0.96979854,0.03020146
0.35060174,0.9695831,0.0304169
0.35185838,0.96936693,0.03063307
0.35311501,0.96915001,0.03084999
0.35437165,0.96893236,0.03106764
0.35562829,0.96871396,0.03128604
0.35688493,0.96849482,0.03150518
0.35814156,0.96827494,0.03172506
0.3593982,0.96805433,0.03194567
0.36065484,0.96783297,0.03216703
0.36191147,0.96761088,0.03238912
0.36316811,0.96738804,0.03261196
0.36442475,0.96716447,0.03283553
0.36568138,0.96694016,0.03305984
0.36693802,0.96671512,0.03328488
0.36819466,0.96648933,0.03351067
0.3694513,0.96626281,0.03373719
0.37070793,0.96603556,0.03396444
0.37196457,0.96580756,0.03419244
0.37322121,0.96557884,0.03442116
0.37447784,0.96534937,0.03465063
0.37573448,0.96511918,0.03488082
0.37699112,0.96488824,0.03511176
0.37824776,0.96465658,0.03534342
0.37950439,0.96442418,0.03557582
0.38076103,0.96419104,0.03580896
0.38201767,0.96395718,0.03604282
0.3832743,0.96372258,0.03627742
0.38453094,0.96348725,0.03651275
0.38578758,0.96325118,0.03674882
0.38704421,0.96301439,0.03698561
0.38830085,0.96277686,0.03722314
0.38955749,0.9625386,0.0374614
0.39081413,0.96229962,0.03770038
0.39207076,0.9620599,0.0379401
0.3933274,0.96181945,0.03818055
0.39458404,0.96157828,0.03842172
0.39584067,0.96133637,0.03866363
0.39709731,0.96109374,0.03890626
0.39835395,0.96085037,0.03914963
0.39961059,0.96060628,0.03939372
0.40086722,0.96036147,0.03963853
0.40212386,0.96011592,0.03988408
0.4033805,0.95986965,0.04013035
0.40463713,0.95962266,0.04037734
0.40589377,0.95937493,0.04062507
0.40715041,0.95912649,0.04087351
0.40840704,0.95887731,0.04112269
0.40966368,0.95862742,0.04137258
0.41092032,0.95837679,0.04162321
0.41217696,0.95812545,0.04187455
0.41343359,0.95787338,0.04212662
0.41469023,0.95762059,0.04237941
0.41594687,0.95736707,0.04263293
0.4172035,0.95711283,0.04288717
0.41846014,0.95685788,0.04314212
0.41971678,0.9566022,0.0433978
0.42097342,0.95634579,0.04365421
0.42223005,0.95608867,0.04391133
0.42348669,0.95583083,0.04416917
0.42474333,0.95557227,0.04442773
0.42599996,0.95531299,0.04468701
0.4272566,0.95505299,0.04494701
0.42851324,0.95479227,0.04520773
0.42976988,0.95453083,0.04546917
0.43102651,0.95426867,0.04573133
0.43228315,0.9540058,0.0459942
0.43353979,0.95374221,0.04625779
0.43479642,0.95347791,0.04652209
0.43605306,0.95321288,0.04678712
0.4373097,0.95294715,0.04705285
0.43856633,0.95268069,0.04731931
0.43982297,0.95241353,0.04758647
0.44107961,0.95214564,0.04785436
0.44233625,0.95187705,0.04812295
0.44359288,0.95160774,0.04839226
0.44484952,0.95133772,0.04866228
0.44610616,0.95106698,0.04893302
0.44736279,0.95079553,0.04920447
0.44861943,0.95052337,0.04947663
0.44987607,0.9502505,0.0497495
0.45113271,0.94997692,0.05002308
0.45238934,0.94970263,0.05029737
0.45364598,0.94942762,0.05057238
0.45490262,0.94915191,0.05084809
0.45615925,0.94887549,0.05112451
0.45741589,0.94859836,0.05140164
0.45867253,0.94832052,0.05167948
0.45992916,0.94804197,0.05195803
0.4611858,0.94776272,0.05223728
0.46244244,0.94748275,0.05251725
0.46369908,0.94720209,0.05279791
0.46495571,0.94692071,0.05307929
0.46621235,0.94663863,0.05336137
