wavelength_nm,normalized_power
1513.95,0.0169882
1513.975,0.01707901
1514.0,0.01717023
1514.025,0.01726188
1514.05,0.01735396
1514.075,0.01744646
1514.1,0.01753939
1514.125,0.01763275
1514.15,0.01772655
1514.175,0.01782077
1514.2,0.01791543
1514.225,0.01801053
1514.25,0.01810606
1514.275,0.01820203
1514.3,0.01829845
1514.325,0.01839531
1514.35,0.01849261
1514.375,0.01859035
1514.4,0.01868855
1514.425,0.01878719
1514.45,0.01888629
1514.475,0.01898583
1514.5,0.01908584
1514.525,0.01918629
1514.55,0.01928721
1514.575,0.01938858
1514.6,0.01949041
1514.625,0.01959271
1514.65,0.01969547
1514.675,0.0197987
1514.7,0.01990239
1514.725,0.02000656
1514.75,0.02011119
1514.775,0.0202163
1514.8,0.02032188
1514.825,0.02042793
1514.85,0.02053447
1514.875,0.02064148
1514.9,0.02074897
1514.925,0.02085695
1514.95,0.02096541
1514.975,0.02107436
1515.0,0.02118379
1515.025,0.02129372
1515.05,0.02140413
1515.075,0.02151504
1515.1,0.02162645
1515.125,0.02173835
1515.15,0.02185074
1515.175,0.02196364
1515.2,0.02207704
1515.225,0.02219094
1515.25,0.02230535
1515.275,0.02242027
1515.3,0.02253569
1515.325,0.02265163
1515.35,0.02276807
1515.375,0.02288503
1515.4,0.02300251
1515.425,0.0231205
1515.45,0.02323902
1515.475,0.02335805
1515.5,0.02347761
1515.525,0.02359769
1515.55,0.0237183
1515.575,0.02383943
1515.6,0.0239611
1515.625,0.0240833
1515.65,0.02420603
1515.675,0.0243293
1515.7,0.0244531
1515.725,0.02457745
1515.75,0.02470233
1515.775,0.02482776
1515.8,0.02495373
1515.825,0.02508025
1515.85,0.02520732
1515.875,0.02533493
1515.9,0.0254631
1515.925,0.02559183
1515.95,0.0257211
1515.975,0.02585094
1516.0,0.02598134
1516.025,0.02611229
1516.05,0.02624381
1516.075,0.0263759
1516.1,0.02650855
1516.125,0.02664177
1516.15,0.02677556
1516.175,0.02690992
1516.2,0.02704485
1516.225,0.02718037
1516.25,0.02731646
1516.275,0.02745313
1516.3,0.02759038
1516.325,0.02772822
1516.35,0.02786664
1516.375,0.02800565
1516.4,0.02814525
1516.425,0.02828543
1516.45,0.02842622
1516.475,0.02856759
1516.5,0.02870957
1516.525,0.02885214
1516.55,0.02899532
1516.575,0.02913909
1516.6,0.02928348
1516.625,0.02942846
1516.65,0.02957406
1516.675,0.02972027
1516.7,0.02986709
1516.725,0.03001452
1516.75,0.03016257
1516.775,0.03031124
1516.8,0.03046053
1516.825,0.03061044
1516.85,0.03076097
1516.875,0.03091213
1516.9,0.03106392
1516.925,0.03121634
1516.95,0.03136939
1516.975,0.03152307
1517.0,0.03167739
1517.025,0.03183235
1517.05,0.03198795
1517.075,0.03214419
1517.1,0.03230107
1517.125,0.0324586
1517.15,0.03261677
1517.175,0.0327756
1517.2,0.03293507
1517.225,0.03309521
1517.25,0.03325599
1517.275,0.03341743
1517.3,0.03357954
1517.325,0.0337423
1517.35,0.03390573
1517.375,0.03406982
1517.4,0.03423459
1517.425,0.03440002
1517.45,0.03456612
1517.475,0.0347329
1517.5,0.03490035
1517.525,0.03506848
1517.55,0.03523729
1517.575,0.03540678
1517.6,0.03557695
1517.625,0.03574781
1517.65,0.03591936
1517.675,0.03609159
1517.7,0.03626452
1517.725,0.03643815
1517.75,0.03661247
1517.775,0.03678748
1517.8,0.0369632
1517.825,0.03713962
1517.85,0.03731674
1517.875,0.03749457
1517.9,0.03767311
1517.925,0.03785235
1517.95,0.03803231
1517.975,0.03821299
1518.0,0.03839438
1518.025,0.03857648
1518.05,0.03875931
1518.075,0.03894286
1518.1,0.03912714
1518.125,0.03931214
1518.15,0.03949787
1518.175,0.03968433
1518.2,0.03987153
1518.225,0.04005946
1518.25,0.04024812
1518.275,0.04043753
1518.3,0.04062767
1518.325,0.04081856
1518.35,0.0410102
1518.375,0.04120258
1518.4,0.04139571
1518.425,0.04158959
1518.45,0.04178423
1518.475,0.04197962
1518.5,0.04217577
1518.525,0.04237268
1518.55,0.04257035
1518.575,0.04276879
1518.6,0.04296799
1518.625,0.04316796
1518.65,0.0433687
1518.675,0.04357021
1518.7,0.04377249
1518.725,0.04397556
1518.75,0.0441794
1518.775,0.04438402
1518.8,0.04458943
1518.825,0.04479562
1518.85,0.04500259
1518.875,0.04521036
1518.9,0.04541892
1518.925,0.04562827
1518.95,0.04583842
1518.975,0.04604936
1519.0,0.0462611
1519.025,0.04647365
1519.05,0.046687
1519.075,0.04690115
1519.1,0.04711612
1519.125,0.04733189
1519.15,0.04754848
1519.175,0.04776588
1519.2,0.04798409
1519.225,0.04820313
1519.25,0.04842298
1519.275,0.04864366
1519.3,0.04886517
1519.325,0.0490875
1519.35,0.04931066
1519.375,0.04953465
1519.4,0.04975948
1519.425,0.04998514
1519.45,0.05021163
1519.475,0.05043897
1519.5,0.05066715
1519.525,0.05089618
1519.55,0.05112605
1519.575,0.05135677
1519.6,0.05158834
1519.625,0.05182076
1519.65,0.05205403
1519.675,0.05228817
1519.7,0.05252316
1519.725,0.05275901
1519.75,0.05299573
1519.775,0.05323331
1519.8,0.05347176
1519.825,0.05371107
1519.85,0.05395126
1519.875,0.05419233
1519.9,0.05443426
1519.925,0.05467708
1519.95,0.05492078
1519.975,0.05516536
1520.0,0.05541082
1520.025,0.05565717
1520.05,0.05590441
1520.075,0.05615254
1520.1,0.05640156
1520.125,0.05665147
1520.15,0.05690229
1520.175,0.057154
1520.2,0.05740661
1520.225,0.05766013
1520.25,0.05791455
1520.275,0.05816988
1520.3,0.05842612
1520.325,0.05868327
1520.35,0.05894134
1520.375,0.05920032
1520.4,0.05946021
1520.425,0.05972103
1520.45,0.05998277
1520.475,0.06024544
1520.5,0.06050903
1520.525,0.06077355
1520.55,0.061039
1520.575,0.06130539
1520.6,0.0615727
1520.625,0.06184096
1520.65,0.06211015
1520.675,0.06238029
1520.7,0.06265137
1520.725,0.06292339
1520.75,0.06319636
1520.775,0.06347029
1520.8,0.06374516
1520.825,0.06402098
1520.85,0.06429777
1520.875,0.0645755
1520.9,0.0648542
1520.925,0.06513387
1520.95,0.06541449
1520.975,0.06569608
1521.0,0.06597864
1521.025,0.06626217
1521.05,0.06654667
1521.075,0.06683215
1521.1,0.0671186
1521.125,0.06740604
1521.15,0.06769445
1521.175,0.06798384
1521.2,0.06827422
1521.225,0.06856559
1521.25,0.06885794
1521.275,0.06915129
1521.3,0.06944563
1521.325,0.06974096
1521.35,0.07003729
1521.375,0.07033462
1521.4,0.07063295
1521.425,0.07093229
1521.45,0.07123262
